index,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
42,"Calle carretas, 25",1,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",29898,Centro,False,3A - 1BR ATICO,3,False,False,False,False,False,40.4153495,-3.7031398,Madrid,Sol,False,17,rent,,1279.0,32.0,86504197,penthouse,Madrid,1,True,40.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Ático en Calle carretas, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/d6/2d/695224915.jpg,https://www.idealista.com/inmueble/86504197/
43,Avenida del Cardenal Herrera Oria,2,es,{'typology': 'flat'},35696,Fuencarral,True,Periodistas,1,False,False,True,True,False,40.4829687,-3.7134088,Madrid,Pilar,False,31,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1200.0,11.0,87730646,flat,Madrid,3,False,105.0,good,"{'subtitle': 'Pilar, Madrid', 'title': 'Piso en Avenida del Cardenal Herrera Oria'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/a2/d0/729554060.jpg,https://www.idealista.com/inmueble/87730646/
44,platino,1,es,{'typology': 'flat'},24746,Villaverde,True,platino,3,False,False,False,False,False,40.3502947,-3.6869652,Madrid,Los Rosales,False,10,rent,,825.0,11.0,85785373,flat,Madrid,3,False,73.0,good,"{'subtitle': 'Los Rosales, Madrid', 'title': 'Piso en platino'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/c2/79/675167432.jpg,https://www.idealista.com/inmueble/85785373/
45,Covibar - Pablo Iglesias,2,es,{'typology': 'flat'},16589,Covibar - Pablo Iglesias,False,VI-000-030-692-542,,False,False,,True,False,40.36574,-3.54583,Rivas-Vaciamadrid,,False,13,rent,,770.0,7.0,34075782,flat,Madrid,3,False,105.0,good,"{'subtitle': 'Covibar - Pablo Iglesias, Rivas-Vaciamadrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/07/fb/660990562.jpg,https://www.idealista.com/inmueble/34075782/
46,Reyes Católicos,1,es,{'typology': 'flat'},25871,Reyes Católicos,False,VI-000-030-677-462,,False,False,,True,False,40.4758616,-3.3823183,Alcalá de Henares,,False,17,rent,,660.0,7.0,85999893,flat,Madrid,3,False,93.0,good,"{'subtitle': 'Reyes Católicos, Alcalá de Henares', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/07/97/680620203.jpg,https://www.idealista.com/inmueble/85999893/
47,"Calle de Alcalá, 22",2,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",29786,Centro,False,,7,False,False,True,False,False,40.4179227,-3.6986547,Madrid,Huertas-Cortes,False,34,rent,,1450.0,16.0,87192036,penthouse,Madrid,2,True,89.0,good,"{'subtitle': 'Huertas-Cortes, Madrid', 'title': 'Ático en Calle de Alcalá, 22'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/10/21/714141344.jpg,https://www.idealista.com/inmueble/87192036/
48,Ciudad 70,1,es,{'typology': 'flat'},21790,Ciudad 70,False,VI-000-030-683-833,,False,False,True,True,False,40.4223741,-3.5411289,Coslada,,False,14,rent,,770.0,9.0,33277765,flat,Madrid,2,False,89.0,good,"{'subtitle': 'Ciudad 70, Coslada', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/05/d7/177598783.jpg,https://www.idealista.com/inmueble/33277765/
49,barrio Los Rosales,1,es,{'typology': 'flat'},24607,Villaverde,False,VI-000-030-687-038,,False,False,,True,False,40.3475947,-3.6869652,Madrid,Los Rosales,False,12,rent,,825.0,11.0,85671358,flat,Madrid,3,False,73.0,good,"{'subtitle': 'Los Rosales, Madrid', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/a5/a7/672359284.jpg,https://www.idealista.com/inmueble/85671358/
0,Centro,1,es,{'typology': 'flat'},30515,Centro,False,VI-000-030-659-509,,False,False,,True,False,40.2792158,-3.7862217,Fuenlabrada,,False,12,rent,,605.0,10.0,85746127,flat,Madrid,3,False,63.0,good,"{'subtitle': 'Centro, Fuenlabrada', 'title': 'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/65/d7/674136796.jpg,https://www.idealista.com/inmueble/85746127/
1,"Camino ancho, 2",4,es,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",35382,La Moraleja,False,A134,,False,False,,True,False,40.5263545,-3.6267184,La Moraleja,,False,38,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3500.0,15.0,87408684,chalet,Madrid,4,True,233.0,good,"{'subtitle': 'La Moraleja, La Moraleja', 'title': 'Chalet adosado en Camino ancho, 2'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/61/bc/33/735507397.jpg,https://www.idealista.com/inmueble/87408684/
